Code,Area,Year,Sex,Pupils,Attainment8,Progress8,Crime Rate,Pass Percentage,Total weekly earning
E09000002,Barking and Dagenham,2016/17,All,2185,46.7,0.23,120.5,63.6,902
E09000003,Barnet,2016/17,All,3528,54.7,0.47,98,77.8,479.1
E09000004,Bexley,2016/17,All,3141,49,-0.05,95.1,67.6,536.6
E09000005,Brent,2016/17,All,2908,49,0.49,127.7,67.4,513.8
E09000006,Bromley,2016/17,All,3258,49.8,0.12,89.8,70.7,480.0
E09000007,Camden,2016/17,All,1513,48.3,0.05,241,67.2,632.5
E09000008,Croydon,2016/17,All,3579,45,0.06,113.7,60.9,634.7
E09000009,Ealing,2016/17,All,2722,48.7,0.42,128.2,70.5,552.0
E09000010,Enfield,2016/17,All,3487,46.2,0.07,104.8,61.6,523.0
E09000011,Greenwich,2016/17,All,2166,45.9,-0.05,141.4,62.7,479.1
E09000012,Hackney,2016/17,All,2002,49.4,0.38,195.9,66.6,573.7
E09000013,Hammersmith and Fulham,2016/17,All,1313,50.9,0.17,178,70.2,555.6
E09000014,Haringey,2016/17,All,2127,46.5,0.29,155.9,63.1,681.3
E09000015,Harrow,2016/17,All,2049,49.7,0.47,80.7,70.2,548.1
E09000016,Havering,2016/17,All,2794,47.5,-0.04,83.2,68.3,538.3
E09000017,Hillingdon,2016/17,All,3075,47.1,0.14,107.2,66.8,544.2
E09000018,Hounslow,2016/17,All,2641,48,0.41,144.8,68.5,531.9
E09000019,Islington,2016/17,All,1377,45.6,0.13,218.7,63.9,535.9
E09000020,Kensington and Chelsea,2016/17,All,739,55,0.45,208.4,76.7,687.6
E09000021,Kingston upon Thames,2016/17,All,1517,55.5,0.41,100.3,78.2,669.3
E09000022,Lambeth,2016/17,All,1949,44.3,-0.12,195.7,60.2,627.1
E09000023,Lewisham,2016/17,All,2247,44.2,-0.28,118.4,58.7,620.4
E09000024,Merton,2016/17,All,1420,50.2,0.5,90.8,69.7,551.4
E09000025,Newham,2016/17,All,3523,48.4,0.41,159.4,65.2,594.8
E09000026,Redbridge,2016/17,All,3458,51.2,0.42,103.2,73.2,479.1
E09000027,Richmond upon Thames,2016/17,All,1374,52.7,0.14,89.7,76.1,554.7
E09000028,Southwark,2016/17,All,2328,50.5,0.31,176.5,68.4,678.2
E09000029,Sutton,2016/17,All,2759,56.2,0.24,80.8,78.0,589.4
E09000030,Tower Hamlets,2016/17,All,2623,47.2,0.25,176.1,65.2,541.2
E09000031,Waltham Forest,2016/17,All,2486,45.5,0.14,122.3,63.1,627.9
E09000032,Wandsworth,2016/17,All,1695,49.5,0.21,134.5,70.9,529.2
E09000033,Westminster,2016/17,All,1535,52.6,0.47,463,74.7,689.9
,,,,,,,,,766.6
